"onset" "duration" "sample" "trial_type" "eventIdentifier" "stim_file" "event_nr" "aoi" "trial" "taskVersion" "nwords" "aoiInfo_wordPosition" "aoiInfo_word" "aoiInfo_nchar" "aoiInfo_freq" "aoiInfo_pred" "aoiInfo_lum_norm" "aoiInfo_simBOLD_res" "aoiInfo_OLD20" "response"
0 10.244 520029 "Exp.Trial" "ID_37_9" "Der Skandal hat dem Ruf des Politikers deutlich geschadet. " 1 "[[142.5,230.5,384,384],[230.5,274.5,384,384],[274.5,318.5,384,384],[318.5,362.5,384,384],[362.5,406.5,384,384],[406.5,527.5,384,384],[527.5,626.5,384,384],[626.5,742,384,384]]" 1 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"Skandal\",\"hat\",\"dem\",\"Ruf\",\"des\",\"Politikers\",\"deutlich\",\"geschadet\"]" "[7,3,3,3,3,10,8,10]" "[2.1875,5.0598,4.875,3.3077,4.4516,0.8451,2.8,1.8865]" "[0,0.0471,0.0235,0.0235,0.6118,0.1765,0,0.8588]" "[141.3619,133.7059,155.5216,143.4444,141.3124,122.4435,127.1794,128.4278]" "[0.8813,\"NA\",\"NA\",\"NA\",\"NA\",0.4636,0.4204,0.3714]" "[2.05,1,1,1,1,2.7,1.9,2.2]" NA
11.554 9.457 531583 "Exp.Trial" "ID_38_7" "Als Kapitalanlage ist Gold nicht zu empfehlen. " 2 "[[142.5,296.5,384,384],[296.5,340.5,384,384],[340.5,395.5,384,384],[395.5,461.5,384,384],[461.5,494.5,384,384],[494.5,610,384,384]]" 2 "v2" 7 "[2,3,4,5,6,7]" "[\"Kapitalanlage\",\"ist\",\"Gold\",\"nicht\",\"zu\",\"empfehlen\"]" "[13,3,4,5,2,10]" "[0.6021,5.6767,3.1261,5.6257,5.3601,2.2695]" "[0,0.0941,0.0118,0.2118,0.2471,0.5059]" "[134.0796,114.8797,143.0049,131.8525,118.9471,130.029]" "[0.7903,\"NA\",\"NA\",0.2879,\"NA\",0.3068]" "[4.75,1,1,1,1,2.05]" NA
22.363 7.407 542392 "Exp.Trial" "ID_39_9" "Markus klettert gern auf den alten Baum im Garten. " 3 "[[175.5,274.5,384,384],[274.5,329.5,384,384],[329.5,373.5,384,384],[373.5,417.5,384,384],[417.5,483.5,384,384],[483.5,538.5,384,384],[538.5,571.5,384,384],[571.5,654,384,384]]" 3 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"klettert\",\"gern\",\"auf\",\"den\",\"alten\",\"Baum\",\"im\",\"Garten\"]" "[8,4,3,3,5,4,2,7]" "[1.6812,3.8267,5.1189,5.163,3.5396,3.0082,4.7586,2.8681]" "[0,0.1529,0.8471,0.0941,0,0.6706,0.1647,0.8235]" "[122.0779,136.4157,140.6131,143.4627,124.0439,152.1853,135.8078,117.898]" "[0.0975,\"NA\",\"NA\",\"NA\",0.2879,\"NA\",\"NA\",0.2119]" "[1.65,1,1,1,1,1,1,1]" "1"
51.002 4.751 571031 "Exp.Trial" "ID_40_7" "Sarah hat ihrem Opa ein Bild gemalt. " 4 "[[164.5,208.5,384,384],[208.5,274.5,384,384],[274.5,318.5,384,384],[318.5,362.5,384,384],[362.5,417.5,384,384],[417.5,500,384,384]]" 4 "v2" 7 "[2,3,4,5,6,7]" "[\"hat\",\"ihrem\",\"Opa\",\"ein\",\"Bild\",\"gemalt\"]" "[3,5,3,3,4,7]" "[5.0598,3.6051,2.938,5.269,3.4123,2.4886]" "[0.1977,0,0,0.3372,0.093,0.6512]" "[133.7059,132.8525,155.3752,122.2627,140.3578,123.9317]" "[\"NA\",0.5646,\"NA\",\"NA\",\"NA\",0.4883]" "[1,1.55,1,1,1.05,1.55]" NA
57.098 7.274 577127 "Exp.Trial" "ID_41_7" "Medizinisch gesehen ist das Herz ein Hohlmuskel. " 5 "[[230.5,318.5,384,384],[318.5,362.5,384,384],[362.5,406.5,384,384],[406.5,461.5,384,384],[461.5,505.5,384,384],[505.5,632,384,384]]" 5 "v2" 7 "[2,3,4,5,6,7]" "[\"gesehen\",\"ist\",\"das\",\"Herz\",\"ein\",\"Hohlmuskel\"]" "[7,3,3,4,3,11]" "[4.2184,5.6767,5.5145,3.6443,5.269,0]" "[0.7143,0.631,0.1429,0.0595,0.3571,0.0238]" "[140.3289,114.8797,141.2889,134.2696,122.2627,129.3362]" "[0.3605,\"NA\",\"NA\",\"NA\",\"NA\",0.4937]" "[1.45,1,1,1,1,4.5]" "2"
89.482 3.911 609511 "Exp.Trial" "ID_42_7" "Jede Sprache der Welt besitzt eine Grammatik. " 6 "[[153.5,241.5,384,384],[241.5,285.5,384,384],[285.5,340.5,384,384],[340.5,428.5,384,384],[428.5,483.5,384,384],[483.5,599,384,384]]" 6 "v2" 7 "[2,3,4,5,6,7]" "[\"Sprache\",\"der\",\"Welt\",\"besitzt\",\"eine\",\"Grammatik\"]" "[7,3,4,7,4,10]" "[2.9405,5.3728,4.0785,2.7193,5.0745,1.2041]" "[0.0118,0.0588,0.6353,0,0.2118,0.0588]" "[140.2616,134.7281,131.5971,123.8969,124.5343,128.3541]" "[0.1108,\"NA\",\"NA\",0.4885,\"NA\",0.7919]" "[1.6,1,1,1.8,1,3.7]" NA
94.74 8.31 614769 "Exp.Trial" "ID_43_7" "Unsere Küche müßte dringend neu gestrichen werden. " 7 "[[175.5,241.5,384,384],[241.5,307.5,384,384],[307.5,406.5,384,384],[406.5,450.5,384,384],[450.5,571.5,384,384],[571.5,654,384,384]]" 7 "v2" 7 "[2,3,4,5,6,7]" "[\"Küche\",\"müßte\",\"dringend\",\"neu\",\"gestrichen\",\"werden\"]" "[5,5,8,3,10,7]" "[3.0962,3.2548,2.8943,3.3101,2.4166,4.69]" "[0,0.0235,0.0706,0.0353,0.3294,1]" "[143.2173,145.2565,139.0691,129.2275,129.2588,121.7882]" "[0.9311,0.9849,0.3813,\"NA\",0.0899,0.144]" "[1.65,1.4,1.75,1,1.8,1]" NA
104.357 5.481 624386 "Exp.Trial" "ID_44_8" "Der Politiker reagierte auf keine Frage der Journalisten. " 8 "[[142.5,252.5,384,384],[252.5,362.5,384,384],[362.5,406.5,384,384],[406.5,472.5,384,384],[472.5,538.5,384,384],[538.5,582.5,384,384],[582.5,731,384,384]]" 8 "v2" 8 "[2,3,4,5,6,7,8]" "[\"Politiker\",\"reagierte\",\"auf\",\"keine\",\"Frage\",\"der\",\"Journalisten\"]" "[9,9,3,5,5,3,13]" "[2.4346,1.7076,5.1189,4.6341,3.7415,5.3728,2.017]" "[0,0,0.3721,0.0233,0.2326,0.2907,0.186]" "[121.9525,125.6902,140.6131,129.8745,137.3035,134.7281,115.6959]" "[0.4615,0.204,\"NA\",0.2879,0.479,\"NA\",0.2699]" "[2.35,1.95,1,1,1.3,1,2.95]" NA
111.541 5.4 631570 "Exp.Trial" "ID_45_9" "Die Insel ist nur mit dem Flugzeug zu erreichen. " 9 "[[142.5,208.5,384,384],[208.5,252.5,384,384],[252.5,296.5,384,384],[296.5,340.5,384,384],[340.5,384.5,384,384],[384.5,483.5,384,384],[483.5,516.5,384,384],[516.5,632,384,384]]" 9 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"Insel\",\"ist\",\"nur\",\"mit\",\"dem\",\"Flugzeug\",\"zu\",\"erreichen\"]" "[5,3,3,3,3,8,2,10]" "[3.3008,5.6767,4.9071,5.1841,4.875,3.3355,5.3601,3.2403]" "[0,0.2442,0.0233,0.1163,0.314,0.0349,0.8953,0.9884]" "[123.1357,114.8797,121.1477,129.0889,155.5216,136.4451,118.9471,115.1878]" "[0.9849,\"NA\",\"NA\",\"NA\",\"NA\",0.4868,\"NA\",0.1769]" "[1.75,1,1,1,1,2,1,1.7]" NA
118.728 8.582 638757 "Exp.Trial" "ID_46_8" "Es sollte mehr Strom mit Solarenergie erzeugt werden. " 10 "[[131.5,208.5,384,384],[208.5,263.5,384,384],[263.5,329.5,384,384],[329.5,373.5,384,384],[373.5,516.5,384,384],[516.5,604.5,384,384],[604.5,687,384,384]]" 10 "v2" 8 "[2,3,4,5,6,7,8]" "[\"sollte\",\"mehr\",\"Strom\",\"mit\",\"Solarenergie\",\"erzeugt\",\"werden\"]" "[6,4,5,3,12,7,7]" "[4.1917,4.6383,2.8519,5.1841,1.0792,2.2201,4.69]" "[0,0.0235,0,0,0.0824,0.4824,0.9882]" "[119.9059,149.8431,137.7286,129.0889,129.4912,128.1776,121.7882]" "[0.144,\"NA\",0.8273,\"NA\",0.9284,0.3605,0.144]" "[1,1,1.65,1,4.45,1.8,1]" "2"
151.95 15.81 671979 "Exp.Trial" "ID_47_8" "Die monotone Arbeit machte den Angestellten keinen Spaß. " 11 "[[142.5,241.5,384,384],[241.5,318.5,384,384],[318.5,395.5,384,384],[395.5,439.5,384,384],[439.5,582.5,384,384],[582.5,659.5,384,384],[659.5,720,384,384]]" 11 "v2" 8 "[2,3,4,5,6,7,8]" "[\"monotone\",\"Arbeit\",\"machte\",\"den\",\"Angestellten\",\"keinen\",\"Spaß\"]" "[8,6,6,3,12,6,5]" "[0.301,3.9824,3.4275,5.163,2.3838,4.1838,3.6986]" "[0,0.1294,0.0588,0.0471,0.0941,0.3176,0.7882]" "[133.5088,130.3928,136.451,143.4627,131.2784,130.4477,135.3835]" "[1,0.9897,0.144,\"NA\",0.0631,0.144,0.9927]" "[2.65,1.7,1,1,2.1,1,1.25]" "1"
178.173 5.697 698202 "Exp.Trial" "ID_48_9" "In dem kleinen Zimmer standen viel zu viele Möbel. " 12 "[[131.5,175.5,384,384],[175.5,263.5,384,384],[263.5,340.5,384,384],[340.5,428.5,384,384],[428.5,483.5,384,384],[483.5,516.5,384,384],[516.5,582.5,384,384],[582.5,654,384,384]]" 12 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"dem\",\"kleinen\",\"Zimmer\",\"standen\",\"viel\",\"zu\",\"viele\",\"Möbel\"]" "[3,7,6,7,4,2,5,6]" "[4.875,3.656,3.6769,2.6149,4.3869,5.3601,4.019,2.3263]" "[0.0119,0.0476,0.0238,0,0.0238,0.2738,0.4524,0.631]" "[155.5216,127.3305,138.1497,133.9277,112.0353,118.9471,115.898,129.1987]" "[\"NA\",0.0954,0.2646,0.1715,\"NA\",\"NA\",0.365,0.9849]" "[1,1.4,1.25,1.45,1,1,1,1.85]" NA
185.572 11.5 705601 "Exp.Trial" "ID_49_9" "Das Fenster im Flur klemmt seit ein paar Tagen. " 13 "[[142.5,230.5,384,384],[230.5,263.5,384,384],[263.5,318.5,384,384],[318.5,395.5,384,384],[395.5,450.5,384,384],[450.5,494.5,384,384],[494.5,549.5,384,384],[549.5,621,384,384]]" 13 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"Fenster\",\"im\",\"Flur\",\"klemmt\",\"seit\",\"ein\",\"paar\",\"Tagen\"]" "[7,2,4,6,4,3,4,6]" "[3.329,4.7586,2.5391,2.2304,3.9332,5.269,4.1455,3.4551]" "[0,0.0595,0.0714,0,0.0714,0,0.6905,0.6905]" "[132.2515,135.8078,120.4118,140.8569,118.9971,122.2627,135.6873,127.2124]" "[0.3605,\"NA\",\"NA\",0.3558,\"NA\",\"NA\",\"NA\",0.2879]" "[1.7,1,1.15,1.7,1,1,1.35,1]" NA
198.39 12.826 718419 "Exp.Trial" "ID_50_9" "Die Sekretärin informierte den Kanzler erst am nächsten Morgen. " 14 "[[142.5,263.5,384,384],[263.5,395.5,384,384],[395.5,439.5,384,384],[439.5,527.5,384,384],[527.5,582.5,384,384],[582.5,615.5,384,384],[615.5,714.5,384,384],[714.5,797,384,384]]" 14 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"Sekretärin\",\"informierte\",\"den\",\"Kanzler\",\"erst\",\"am\",\"nächsten\",\"Morgen\"]" "[10,11,3,7,4,2,8,7]" "[2.4472,1.699,5.163,2.3181,3.9049,4.3613,3.5832,3.9325]" "[0,0,0.5176,0,0,0.1412,0.3529,0.0706]" "[129.8122,123.4763,143.4627,128.2583,120.2431,150.3843,132.7789,128.6549]" "[0.671,0.0568,\"NA\",0.8193,\"NA\",\"NA\",0.1164,0.2448]" "[2.9,1.75,1,1.9,1,1,1.55,1]" "1"
225.319 9.173 745348 "Exp.Trial" "ID_51_9" "Vielleicht gibt es bald im Dezember Ostereier zu kaufen. " 15 "[[219.5,274.5,384,384],[274.5,307.5,384,384],[307.5,362.5,384,384],[362.5,395.5,384,384],[395.5,494.5,384,384],[494.5,604.5,384,384],[604.5,637.5,384,384],[637.5,720,384,384]]" 15 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"gibt\",\"es\",\"bald\",\"im\",\"Dezember\",\"Ostereier\",\"zu\",\"kaufen\"]" "[4,2,4,2,8,9,2,7]" "[4.4259,5.4176,3.7711,4.7586,2.243,0.699,5.3601,3.436]" "[0.0471,0.9176,0.0706,0,0,0,0.4471,0.3765]" "[138.1078,129.1059,141.599,135.8078,139.4725,123.8523,118.9471,119.6768]" "[\"NA\",\"NA\",\"NA\",\"NA\",0.9837,0.9948,\"NA\",0.1952]" "[1,1,1.45,1,2.55,2.95,1,1.2]" NA
