"onset" "duration" "sample" "trial_type" "eventIdentifier" "stim_file" "event_nr" "aoi" "trial" "taskVersion" "nwords" "aoiInfo_wordPosition" "aoiInfo_word" "aoiInfo_nchar" "aoiInfo_freq" "aoiInfo_pred" "aoiInfo_lum_norm" "aoiInfo_simBOLD_res" "aoiInfo_OLD20" "response"
0 4.116 509608 "Exp.Trial" "ID_109_6" "Einige der Angestellten arbeiten nur vormittags. " 1 "[[175.5,219.5,384,384],[219.5,362.5,384,384],[362.5,461.5,384,384],[461.5,505.5,384,384],[505.5,632,384,384]]" 1 "v4" 6 "[2,3,4,5,6]" "[\"der\",\"Angestellten\",\"arbeiten\",\"nur\",\"vormittags\"]" "[3,12,8,3,11]" "[5.3728,2.3838,3.7548,4.9071,1.1139]" "[0.0805,0,0.046,0.1149,0.0345]" "[134.7281,131.2784,126.6176,121.1477,119.4221]" "[\"NA\",0.0631,0.1164,\"NA\",0.7152]" "[1,2.1,1.55,1,3.4]" NA
6.813 4.796 516421 "Exp.Trial" "ID_110_9" "Die Spieler hoffen, daß sie ihre Gegner schlagen werden. " 2 "[[142.5,230.5,384,384],[230.5,318.5,384,384],[318.5,362.5,384,384],[362.5,406.5,384,384],[406.5,461.5,384,384],[461.5,538.5,384,384],[538.5,637.5,384,384],[637.5,720,384,384]]" 2 "v4" 9 "[2,3,4,5,6,7,8,9]" "[\"Spieler\",\"hoffen\",\"daß\",\"sie\",\"ihre\",\"Gegner\",\"schlagen\",\"werden\"]" "[7,7,3,3,4,6,8,7]" "[2.7308,2.9063,5.0908,5.2997,4.1595,2.8543,3.2695,4.69]" "[0,0,0.6824,0.6588,0.0118,0.0471,0.2471,0.4235]" "[131.6739,120.7165,154.7503,120.1124,123.6931,141.0601,134.5324,121.7882]" "[0.1715,0.3558,\"NA\",\"NA\",\"NA\",0.9389,0.0975,0.144]" "[1.4,1.5,1,1,1,1.6,1.55,1]" NA
13.873 5.62 523481 "Exp.Trial" "ID_111_10" "Ich bin nicht sicher, ob alle die Prüfung schaffen werden. " 3 "[[142.5,186.5,384,384],[186.5,252.5,384,384],[252.5,340.5,384,384],[340.5,373.5,384,384],[373.5,428.5,384,384],[428.5,472.5,384,384],[472.5,560.5,384,384],[560.5,659.5,384,384],[659.5,742,384,384]]" 3 "v4" 10 "[2,3,4,5,6,7,8,9,10]" "[\"bin\",\"nicht\",\"sicher\",\"ob\",\"alle\",\"die\",\"Prüfung\",\"schaffen\",\"werden\"]" "[3,5,7,2,4,3,7,8,7]" "[4.9605,5.6257,4.2736,4.1393,4.4773,5.5136,2.6385,3.5252,4.69]" "[0.2588,0.0824,0.0235,0.9176,0.0118,0.0118,0.0118,0.0471,0.8471]" "[132.068,131.8525,105.4835,144.5412,119.9706,133.0667,137.3165,131.7941,121.7882]" "[\"NA\",0.2879,0.3558,\"NA\",\"NA\",\"NA\",0.9597,0.0668,0.144]" "[1,1,1.45,1,1,1,2.5,1.45,1]" NA
21.892 6.003 531500 "Exp.Trial" "ID_112_10" "Die meisten Geschäfte schließen samstags früher als unter der Woche. " 4 "[[142.5,230.5,384,384],[230.5,340.5,384,384],[340.5,450.5,384,384],[450.5,549.5,384,384],[549.5,626.5,384,384],[626.5,670.5,384,384],[670.5,736.5,384,384],[736.5,780.5,384,384],[780.5,852,384,384]]" 4 "v4" 10 "[2,3,4,5,6,7,8,9,10]" "[\"meisten\",\"Geschäfte\",\"schließen\",\"samstags\",\"früher\",\"als\",\"unter\",\"der\",\"Woche\"]" "[7,9,9,8,6,3,5,3,6]" "[3.3869,2.975,2.9926,1.5441,3.4797,4.772,3.983,5.3728,3.6864]" "[0.0824,0,0.0941,0.0118,0.0353,0.9529,0.0118,0.8706,0.9059]" "[130.0202,136.2898,130.2013,137.7721,128.768,122.2562,122.0886,134.7281,123.1]" "[0.0917,0.1971,0.1218,0.9928,0.3121,\"NA\",0.3178,\"NA\",0.6327]" "[1.25,1.6,1.35,2.75,1.4,1,1,1,1.25]" NA
30.042 7.017 539650 "Exp.Trial" "ID_113_7" "Die Astronauten antworten seit Tagen nicht mehr. " 5 "[[142.5,274.5,384,384],[274.5,384.5,384,384],[384.5,439.5,384,384],[439.5,505.5,384,384],[505.5,571.5,384,384],[571.5,632,384,384]]" 5 "v4" 7 "[2,3,4,5,6,7]" "[\"Astronauten\",\"antworten\",\"seit\",\"Tagen\",\"nicht\",\"mehr\"]" "[11,9,4,5,5,5]" "[1.7324,2.828,3.9332,3.4551,5.6257,4.6383]" "[0,0,0,0.0588,0.8,0.7294]" "[128.293,126.9355,118.9971,152.6549,131.8525,119.8745]" "[0.5075,0.1948,\"NA\",0.2879,0.2879,0.5728]" "[3.25,1.7,1,1,1,1]" NA
39.957 5.057 549565 "Exp.Trial" "ID_114_8" "Die Schüler schreiben ihrer kranken Lehrerin einen Brief. " 6 "[[142.5,230.5,384,384],[230.5,340.5,384,384],[340.5,406.5,384,384],[406.5,494.5,384,384],[494.5,593.5,384,384],[593.5,659.5,384,384],[659.5,731,384,384]]" 6 "v4" 8 "[2,3,4,5,6,7,8]" "[\"Schüler\",\"schreiben\",\"ihrer\",\"kranken\",\"Lehrerin\",\"einen\",\"Brief\"]" "[7,9,5,7,8,5,6]" "[3.0777,3.3316,3.6266,2.2253,2.6304,4.901,3.1864]" "[0.0118,0.0118,0,0.0588,0.7294,0.8588,0.7529]" "[132.6633,129.3124,120.3765,134.1193,125.0632,126.2902,115.5131]" "[0.5984,0.0573,0.5339,0.103,0.3951,0.2879,0.8355]" "[1.5,1.55,1.45,1.45,1.85,1,1.6]" "1"
55.685 10.011 565293 "Exp.Trial" "ID_115_6" "Die Beschuldigten schweigen zu den Vorwürfen. " 7 "[[142.5,296.5,384,384],[296.5,406.5,384,384],[406.5,439.5,384,384],[439.5,483.5,384,384],[483.5,599,384,384]]" 7 "v4" 6 "[2,3,4,5,6]" "[\"Beschuldigten\",\"schweigen\",\"zu\",\"den\",\"Vorwürfen\"]" "[13,9,2,3,10]" "[0.8451,2.6107,5.3601,5.163,1.2304]" "[0,0.0119,0.2262,0.4286,0.4286]" "[135.9849,135.1403,118.9471,143.4627,120.2867]" "[0.0797,0.0815,\"NA\",\"NA\",0.5115]" "[2.45,1.7,1,1,2.55]" NA
68.336 4.082 577944 "Exp.Trial" "ID_116_7" "Die beiden Mädchen schütteln sich vor lachen. " 8 "[[142.5,219.5,384,384],[219.5,307.5,384,384],[307.5,417.5,384,384],[417.5,472.5,384,384],[472.5,516.5,384,384],[516.5,599,384,384]]" 8 "v4" 7 "[2,3,4,5,6,7]" "[\"beiden\",\"Mädchen\",\"schütteln\",\"sich\",\"vor\",\"lachen\"]" "[6,7,9,4,3,7]" "[3.6521,4.075,2.143,4.9203,4.5422,3.1212]" "[0.0118,0.0471,0,0.4235,0.4588,0.1882]" "[137.4379,148.7854,127.2153,134.2902,133.7752,116.1059]" "[0.2086,0.2506,0.1218,\"NA\",\"NA\",0.144]" "[1,1.15,1.65,1,1,1]" NA
75.032 8.344 584640 "Exp.Trial" "ID_117_8" "Dorothea log oft bei Fragen nach ihrem Alter. " 9 "[[197.5,241.5,384,384],[241.5,285.5,384,384],[285.5,329.5,384,384],[329.5,406.5,384,384],[406.5,461.5,384,384],[461.5,527.5,384,384],[527.5,599,384,384]]" 9 "v4" 8 "[2,3,4,5,6,7,8]" "[\"log\",\"oft\",\"bei\",\"Fragen\",\"nach\",\"ihrem\",\"Alter\"]" "[3,3,3,6,4,5,6]" "[1.8261,3.638,4.5715,3.5748,4.6686,3.6051,3.5469]" "[0,0.0233,0.0116,0.0349,0.1047,0.2791,0.2326]" "[136.9451,124.7582,131.4131,136.6386,133.8824,132.8525,110.8882]" "[\"NA\",\"NA\",\"NA\",0.1805,\"NA\",0.5646,0.3178]" "[1,1,1,1.35,1,1.55,1]" NA
86.145 7.156 595753 "Exp.Trial" "ID_118_9" "Die Großmutter wog die Zutaten beim Backen sehr genau. " 10 "[[142.5,263.5,384,384],[263.5,307.5,384,384],[307.5,351.5,384,384],[351.5,439.5,384,384],[439.5,494.5,384,384],[494.5,571.5,384,384],[571.5,626.5,384,384],[626.5,698,384,384]]" 10 "v4" 9 "[2,3,4,5,6,7,8,9]" "[\"Großmutter\",\"wog\",\"die\",\"Zutaten\",\"beim\",\"Backen\",\"sehr\",\"genau\"]" "[10,3,3,7,4,6,4,6]" "[2.9074,1.6021,5.5136,2.0531,3.8822,1.7853,4.4877,4.0827]" "[0,0,0.1176,0.0706,0.0118,0.7059,0.0118,0.8941]" "[133.4294,149.5477,133.0667,128.614,140.9324,141.4797,139.1863,121.681]" "[0.4517,\"NA\",\"NA\",0.6043,\"NA\",0.144,\"NA\",0.6327]" "[2.3,1,1,1.95,1.05,1,1,1.45]" NA
