duration,x,y,sub,session,acq,eye,fix_start,fix_end,trial_type,stim_file,event_nr,trial,trialID,taskVersion,response,nwords,event_onset,event_offset,duration_corr,fixation_type,cal,word_position,word,nchar,freq,pred,lum_norm,simBOLD_res,OLD20,aoi_nr
436,118.8,384,aa2805,1,prelex,R,-0.026,0.41,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,410,sfix_beforeOnset,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,109.9,384,aa2805,1,prelex,L,-0.026,0.411,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,411,sfix_beforeOnset,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,156.3,384,aa2805,1,prelex,L,0.433,0.818,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,385,withinEvent,0.25,2,machten,7,3.0249,0.0118,136.0028,5.0665e-09,1.15,1
388,173.8,384,aa2805,1,prelex,R,0.432,0.82,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,388,withinEvent,0.3,2,machten,7,3.0249,0.0118,136.0028,5.0665e-09,1.15,1
389,108.6,384,aa2805,1,prelex,L,0.838,1.227,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,389,withinEvent,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,128.5,384,aa2805,1,prelex,R,0.841,1.227,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,386,withinEvent,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,160,384,aa2805,1,prelex,L,1.249,1.49,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,241,withinEvent,0.25,2,machten,7,3.0249,0.0118,136.0028,5.0665e-09,1.15,1
240,181.4,384,aa2805,1,prelex,R,1.25,1.49,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,240,withinEvent,0.3,2,machten,7,3.0249,0.0118,136.0028,5.0665e-09,1.15,1
369,253,384,aa2805,1,prelex,R,1.513,1.882,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,369,withinEvent,0.3,3,einen,5,4.901,0.3294,126.2902,0.2879,1,2
370,231,384,aa2805,1,prelex,L,1.513,1.883,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,370,withinEvent,0.25,3,einen,5,4.901,0.3294,126.2902,0.2879,1,2
309,309.6,384,aa2805,1,prelex,R,1.905,2.214,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,309,withinEvent,0.3,4,Spaziergang,11,2.4232,0.0941,140.0242,0.8463,3.6,3
308,288,384,aa2805,1,prelex,L,1.907,2.215,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,308,withinEvent,0.25,3,einen,5,4.901,0.3294,126.2902,0.2879,1,2
551,316.3,384,aa2805,1,prelex,L,2.235,2.786,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,551,withinEvent,0.25,4,Spaziergang,11,2.4232,0.0941,140.0242,0.8463,3.6,3
551,332.2,384,aa2805,1,prelex,R,2.235,2.786,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,551,withinEvent,0.3,4,Spaziergang,11,2.4232,0.0941,140.0242,0.8463,3.6,3
256,344.5,384,aa2805,1,prelex,L,2.801,3.057,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,256,withinEvent,0.25,4,Spaziergang,11,2.4232,0.0941,140.0242,0.8463,3.6,3
255,354.7,384,aa2805,1,prelex,R,2.803,3.058,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,255,withinEvent,0.3,4,Spaziergang,11,2.4232,0.0941,140.0242,0.8463,3.6,3
462,318.8,384,aa2805,1,prelex,R,3.077,3.539,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,462,withinEvent,0.3,4,Spaziergang,11,2.4232,0.0941,140.0242,0.8463,3.6,3
464,309.4,384,aa2805,1,prelex,L,3.076,3.54,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,464,withinEvent,0.25,4,Spaziergang,11,2.4232,0.0941,140.0242,0.8463,3.6,3
330,331.7,384,aa2805,1,prelex,L,3.561,3.891,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,330,withinEvent,0.25,4,Spaziergang,11,2.4232,0.0941,140.0242,0.8463,3.6,3
335,341.9,384,aa2805,1,prelex,R,3.558,3.893,Exp.Trial,Sie machten einen Spaziergang am Deich entlang. ,1,1,ID_73_7,v3,NA,7,0,12.406,335,withinEvent,0.3,4,Spaziergang,11,2.4232,0.0941,140.0242,0.8463,3.6,3
